日期,商品名称,订单量,订单金额
4/22/2026,续费订阅,401,10919.91
4/22/2026,成人认证,17,16.83
4/22/2026,折扣订阅,75,1797.58
4/22/2026,会员延期,24,1707.21
4/22/2026,Pro畅聊包,94,4999.06
4/22/2026,会员畅聊组合包,15,1764.67
4/22/2026,购买消息,548,12831.42
4/22/2026,购买钻石,7,32.93
4/22/2026,购买订阅,311,11320.72
4/22/2026,购买消息扩容,475,10200.21
4/22/2026,升级订阅,99,3441.35
4/21/2026,续费订阅,412,10331.37
4/21/2026,成人认证,18,17.82
4/21/2026,会员畅聊组合包,8,1049.86
4/21/2026,折扣订阅,74,1868.8
4/21/2026,会员延期,19,1895.37
4/21/2026,Pro畅聊包,83,3309.17
4/21/2026,购买消息,508,12120.55
4/21/2026,购买钻石,7,46.93
4/21/2026,购买订阅,320,11082.28
4/21/2026,升级订阅,106,5625.27
4/21/2026,购买消息扩容,393,7538.55
4/20/2026,会员延期,32,3122.91
4/20/2026,购买钻石,3,20.97
4/20/2026,购买消息扩容,405,7806.39
4/20/2026,Pro畅聊包,78,4789.22
4/20/2026,购买消息,495,11326.58
4/20/2026,续费订阅,488,12003.59
4/20/2026,折扣订阅,65,1336.29
4/20/2026,成人认证,24,23.76
4/20/2026,升级订阅,110,3362.09
4/20/2026,会员畅聊组合包,10,639.87
4/20/2026,购买订阅,348,11825.47
4/19/2026,会员延期,19,3897.26
4/19/2026,购买钻石,2,1.98
4/19/2026,Pro畅聊包,83,3859.17
4/19/2026,购买消息,419,9563.65
4/19/2026,续费订阅,510,11663.13
4/19/2026,折扣订阅,78,1573.14
4/19/2026,成人认证,14,13.86
4/19/2026,购买消息扩容,383,7447.38
4/19/2026,会员畅聊组合包,10,619.84
4/19/2026,升级订阅,125,5607.74
4/19/2026,购买订阅,287,9448.05
4/18/2026,购买订阅,304,8872.89
4/18/2026,会员畅聊组合包,8,439.9
4/18/2026,升级订阅,112,4869.35
4/18/2026,续费订阅,501,12382.53
4/18/2026,折扣订阅,66,1390.7
4/18/2026,购买消息扩容,342,6647.01
4/18/2026,成人认证,13,12.87
4/18/2026,会员延期,17,1526.61
4/18/2026,购买消息,448,10234.59
4/18/2026,Pro畅聊包,84,3909.16
4/17/2026,会员畅聊组合包,7,975.88
4/17/2026,购买订阅,341,10051.3
4/17/2026,升级订阅,114,4089.06
4/17/2026,续费订阅,449,11021.4
4/17/2026,折扣订阅,68,1566.45
4/17/2026,成人认证,15,14.85
4/17/2026,会员延期,18,1631.6
4/17/2026,购买钻石,2,5.98
4/17/2026,购买消息扩容,388,7483.47
4/17/2026,购买消息,462,10262.5
4/17/2026,Pro畅聊包,73,2189.27
4/16/2026,折扣订阅,56,2102.98
4/16/2026,成人认证,14,13.86
4/16/2026,续费订阅,508,11483.78
4/16/2026,购买钻石,3,11.97
4/16/2026,Pro畅聊包,60,2089.4
4/16/2026,购买消息,449,10302.64
4/16/2026,会员延期,17,836.72
4/16/2026,会员畅聊组合包,18,1609.73
4/16/2026,购买订阅,345,11037.5
4/16/2026,购买消息扩容,414,8588.04
4/16/2026,升级订阅,106,3844.2
4/15/2026,折扣订阅,73,1729.21
4/15/2026,成人认证,21,20.79
4/15/2026,会员畅聊组合包,8,1599.85
4/15/2026,续费订阅,504,12208.28
4/15/2026,购买钻石,7,19.93
4/15/2026,Pro畅聊包,74,2219.26
4/15/2026,购买消息,420,9064.67
4/15/2026,会员延期,22,3960.56
4/15/2026,购买订阅,296,10284.4
4/15/2026,升级订阅,108,3641.44
4/15/2026,购买消息扩容,432,8838.87
4/14/2026,升级订阅,87,2891.67
4/14/2026,购买消息扩容,474,9048.22
4/14/2026,购买订阅,334,12422.13
4/14/2026,购买钻石,7,27.93
4/14/2026,购买消息,449,9091.64
4/14/2026,Pro畅聊包,73,2999.27
4/14/2026,会员延期,25,3082.98
4/14/2026,折扣订阅,75,1354.59
4/14/2026,成人认证,25,24.75
4/14/2026,续费订阅,501,12710.59
4/14/2026,会员畅聊组合包,8,1025.87
4/13/2026,升级订阅,89,2304.35
4/13/2026,购买订阅,382,11625.82
4/13/2026,购买消息扩容,645,15065.93
4/13/2026,购买钻石,14,106.86
4/13/2026,购买消息,528,11394.56
4/13/2026,Pro畅聊包,136,5428.64
4/13/2026,会员延期,18,760.38
4/13/2026,会员畅聊组合包,16,1549.57
4/13/2026,折扣订阅,93,2005.37
4/13/2026,成人认证,15,14.85
4/13/2026,续费订阅,489,10699.91
4/12/2026,购买订阅,396,14956.93
4/12/2026,升级订阅,116,3749.81
4/12/2026,会员畅聊组合包,15,1126.72
4/12/2026,成人认证,13,12.87
4/12/2026,折扣订阅,3,22.37
4/12/2026,续费订阅,499,12073.73
4/12/2026,购买消息扩容,255,4244.41
4/12/2026,购买消息,566,12893.49
4/12/2026,Pro畅聊包,50,2519.5
4/12/2026,购买钻石,7,35.93
4/12/2026,会员延期,9,2165.8
4/11/2026,购买订阅,379,11379.79
4/11/2026,会员畅聊组合包,20,1151.72
4/11/2026,升级订阅,113,3881.83
4/11/2026,成人认证,11,10.89
4/11/2026,折扣订阅,3,46.17
4/11/2026,续费订阅,629,16468.59
4/11/2026,购买消息,566,13234.49
4/11/2026,Pro畅聊包,61,3479.39
4/11/2026,购买钻石,5,17.95
4/11/2026,购买消息扩容,212,3922.07
4/11/2026,会员延期,15,925.63
4/10/2026,Pro畅聊包,48,2179.52
4/10/2026,购买消息,564,13077.49
4/10/2026,购买钻石,3,2.97
4/10/2026,购买消息扩容,257,4865.19
4/10/2026,会员延期,21,1776.79
4/10/2026,成人认证,11,10.89
4/10/2026,折扣订阅,1,4.19
4/10/2026,续费订阅,534,14485.39
4/10/2026,升级订阅,116,3508.24
4/10/2026,购买订阅,422,13166.11
4/10/2026,会员畅聊组合包,16,935.77
4/9/2026,Pro畅聊包,51,2299.49
4/9/2026,购买消息,600,13784.3
4/9/2026,购买钻石,4,12.96
4/9/2026,会员延期,15,951.85
4/9/2026,成人认证,14,13.86
4/9/2026,折扣订阅,2,27.98
4/9/2026,续费订阅,559,13682.34
4/9/2026,购买消息扩容,220,3882.87
4/9/2026,升级订阅,127,3969.69
4/9/2026,会员畅聊组合包,18,1165.78
4/9/2026,购买订阅,358,11247.25
4/8/2026,升级订阅,110,3089
4/8/2026,购买消息扩容,242,4435.74
4/8/2026,购买订阅,356,11464.91
4/8/2026,会员延期,16,1637.73
4/8/2026,购买钻石,3,24.97
4/8/2026,购买消息,582,13863.26
4/8/2026,会员畅聊组合包,12,755.84
